career_domain,math_scores,cs_fundamentals_scores,cgpa,cognitive_ability_score,programming_skill,web_dev_skill,mobile_dev_skill,data_analytics_skill,data_science_ml_skill,db_sql_skill,cloud_devops_skill,cybersecurity_skill,networking_sysadmin_skill,ui_ux_design_skill,qa_testing_skill,business_analysis_skill,interest_dev_overall,interest_data_overall,interest_cloud_infra_overall,interest_cybersecurity,interest_ui_ux_design,interest_business_and_management,teamwork_behavior,learning_motivation,communication_skill,professional_discipline_score,project_count,project_complexity,internship_experience_count,github_repos_count,github_commits_90d,certifications_total,lang_python,lang_java,lang_javascript,lang_c_cpp,lang_sql,frontend_react,frontend_angular,backend_node,backend_django,backend_spring,db_postgres,data_tool_spark,data_tool_airflow,data_tool_kafka,cloud_aws,cloud_azure,devops_docker,devops_kubernetes,devops_terraform,observability_prometheus,observability_grafana,security_tool_siem,security_tool_wireshark,security_tool_burpsuite,testing_tool_selenium,testing_tool_jmeter,mobile_kotlin,mobile_flutter,projects_backend,projects_frontend,projects_fullstack,projects_mobile_android,projects_data_analytics,projects_data_engineering,projects_ml_ai,projects_cloud,projects_devops,projects_security_defense,projects_security_offense,projects_embedded,system_design_score,distributed_systems_knowledge_score,cloud_arch_patterns_score,data_modeling_skill,api_design_skill,siem_experience_score,incident_response_cases,vuln_assessments_done,pentest_tools_known_count,compliance_frameworks_known_count,embedded_c_cpp_skill,microcontroller_projects_count,rtos_experience_score,firmware_debugging_skill,job_role
"Cloud, DevOps & Platform Engineering",77.32,78.27,8.26,6.23,5.04,2.5,5.03,6.76,4.58,4.37,9.72,2.71,7.11,3.87,7.47,5.07,3.98,5.83,9.89,5.11,5.91,4.14,4.87,6.37,6.23,0.54,11,1.54,3,11,270,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,2,0,1,0,7.81,8.47,6.66,4.76,6.49,3.06,0,0,0,0,4.78,0,3.96,3.61,Platform Engineer
Data & Artificial Intelligence,86.13,75.18,8.49,3.92,5.69,3.69,5.1,9.56,7.48,7.31,9.32,3.19,2.68,0.01,3.24,6.33,3.62,9.25,6.49,4.59,4.75,9.15,4.77,9.12,4.54,0.56,7,7.52,1,4,93,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,5.68,4.57,4.01,6.43,5.49,3.88,0,0,0,0,3.61,0,2.01,3.08,Machine Learning Engineer
Cybersecurity,50.83,66.35,7.32,7.58,4.41,2.67,0.47,7.1,3.23,1.87,5.98,7.78,8.78,3.99,6.32,0.82,6.61,5.93,4.82,7.77,6.13,5.99,6.46,7.74,3.27,0.79,8,6.85,1,13,136,4,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5,0,0,0,6.88,3.89,4.86,2.62,8.08,8.07,11,8,4,1,4.37,0,3.66,2.64,Cloud Security Engineer
Quality Assurance & Testing,77.05,88.13,6.71,9.72,7.1,3.15,5.9,6.16,0.57,5.24,4.66,2.68,5.33,2.83,9.86,3.19,4.64,5.11,4.28,4.24,5.31,3.06,5.61,7.93,9.25,0.59,4,4.69,2,6,67,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7.22,4.41,1.65,3.63,8.5,0.74,0,0,0,0,2.55,0,2.5,0.07,Test Architect
"Cloud, DevOps & Platform Engineering",71.81,63.0,7.1,7.87,4.89,4.01,1.1,3.95,2.95,7.11,6.15,4.91,9.42,3.89,8.46,2.47,5.25,2.79,7.81,3.87,5.33,5.9,3.73,7.36,6.55,0.66,7,4.54,1,16,120,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,6.96,9.07,3.27,1.14,6.51,0.0,1,2,1,0,0.27,0,3.09,0.15,Infrastructure Engineer
"Cloud, DevOps & Platform Engineering",67.74,81.65,7.42,4.74,8.43,3.41,4.96,5.04,4.69,4.97,6.43,3.48,8.97,3.05,5.52,3.5,5.42,6.05,7.84,4.32,6.88,7.25,6.37,8.26,4.22,0.84,8,4.9,2,15,218,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,3,0,1,0,6.92,5.99,8.37,6.21,4.27,5.09,0,0,0,0,3.44,1,2.17,3.97,Platform Engineer
Cybersecurity,81.76,83.22,8.39,7.55,5.4,1.56,3.9,7.74,5.04,1.87,6.38,9.83,6.96,0.5,7.01,2.36,5.74,6.18,8.23,9.07,5.18,8.44,3.07,7.95,6.63,0.68,11,5.67,2,14,180,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,5,1,1,8.1,2.63,3.28,3.52,6.16,8.41,4,16,3,3,2.62,0,1.1,3.92,Cybersecurity Engineer
Software Engineering,78.95,72.07,8.12,6.27,6.46,6.1,10.0,7.6,6.9,7.81,6.58,7.06,7.31,4.38,6.25,6.34,7.17,5.45,4.45,3.64,3.89,6.1,5.66,7.15,5.63,0.53,7,5.01,0,9,134,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,0,0,1,0,0,1,0,0,6.06,5.25,4.83,4.69,8.94,3.1,0,0,0,0,2.6,0,3.82,1.71,Mobile Application Developer
Data & Artificial Intelligence,73.08,76.55,7.21,8.44,6.44,3.8,3.63,6.14,6.94,7.74,7.31,1.63,3.18,4.06,3.76,6.12,6.61,7.82,6.51,3.98,4.28,7.32,3.19,6.01,7.9,0.46,9,2.7,1,11,147,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,5.05,7.87,4.34,9.85,7.8,1.45,0,0,0,1,1.63,0,0.41,4.85,Data Engineer
"Cloud, DevOps & Platform Engineering",64.0,72.8,8.02,6.8,4.55,2.24,1.63,5.19,2.48,4.15,8.26,3.28,8.38,3.64,6.02,6.0,0.6,4.99,8.01,5.32,4.89,4.3,5.89,5.57,10.0,0.79,9,9.85,3,12,219,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8.68,7.02,8.77,5.35,9.47,3.6,1,0,0,0,1.51,1,1.62,0.84,Platform Engineer
Software Engineering,87.69,73.73,8.5,6.54,7.41,3.88,5.29,4.5,4.6,7.66,3.58,1.92,3.68,4.93,4.01,4.07,8.8,4.86,5.62,4.04,4.45,8.79,4.95,4.14,5.91,0.67,5,3.74,0,9,54,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,5.62,5.69,4.78,3.02,7.1,3.35,0,0,1,0,0.19,0,0.0,0.63,Backend Engineer
Software Engineering,82.02,73.25,8.58,8.22,6.65,6.71,9.89,7.42,7.63,5.53,7.22,3.7,4.92,5.58,4.45,3.03,7.94,3.67,4.71,3.23,4.0,5.66,6.02,9.13,4.38,0.83,9,8.86,1,15,198,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,6.97,4.44,5.71,4.42,8.79,5.05,0,0,0,0,2.4,1,2.88,0.55,Mobile Application Developer
Software Engineering,69.5,93.98,8.3,5.36,8.34,7.67,6.69,7.23,4.18,6.26,5.62,5.08,7.16,8.12,5.93,5.94,9.59,7.55,7.38,4.48,6.77,5.71,6.85,5.77,5.49,0.82,11,6.0,2,11,230,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6.94,8.19,5.07,6.87,8.09,3.93,0,0,0,0,1.96,0,3.73,3.89,Game Developer
Data & Artificial Intelligence,67.63,76.03,8.59,8.11,8.28,5.52,4.11,8.27,8.91,8.0,7.22,2.18,4.83,3.95,0.95,4.75,4.91,10.0,8.47,5.75,8.21,5.14,5.07,8.08,6.88,0.68,8,4.77,1,11,102,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,1,0,5.53,4.61,3.6,8.28,7.03,3.79,0,0,0,0,2.58,0,0.73,2.8,Data Scientist
Cybersecurity,81.02,69.43,8.47,5.07,4.52,3.65,5.0,4.07,6.57,2.62,7.82,7.89,2.55,1.44,5.21,4.78,6.5,5.17,2.88,9.16,3.88,7.05,5.64,7.99,3.83,0.82,5,4.71,2,6,51,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.98,5.37,2.9,4.59,4.57,7.63,13,6,2,1,3.46,0,2.24,2.09,Security Analyst
Software Engineering,63.48,93.76,7.39,6.14,6.95,4.01,4.42,4.38,3.93,6.59,7.02,3.64,4.61,4.14,6.3,9.5,9.33,6.32,6.86,5.35,6.25,4.92,5.0,6.19,7.54,0.54,0,3.42,1,3,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.04,2.55,5.5,1.54,3.94,3.19,0,0,1,0,0.16,0,2.78,2.21,Application Support Engineer
Cybersecurity,71.98,89.31,7.39,5.57,6.96,1.01,3.32,3.78,7.45,6.37,6.74,7.3,5.49,1.94,2.98,1.07,3.65,5.71,4.43,10.0,4.04,4.63,5.6,7.25,5.68,0.67,6,5.24,2,15,121,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,4.23,6.89,4.14,5.08,3.61,8.92,18,2,8,3,5.26,0,0.96,2.72,Security Operations Engineer
Cybersecurity,60.6,68.76,7.77,4.4,7.61,1.69,2.2,9.38,4.45,3.82,7.85,8.81,7.11,2.93,7.14,4.39,3.94,5.39,6.93,8.33,7.63,5.01,7.44,6.24,1.7,0.7,9,9.7,2,4,246,4,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,2,2,2,0,0,4.94,5.29,4.47,4.52,4.65,7.8,8,4,5,2,3.98,0,2.01,6.45,Security Operations Engineer
